title,item_opened_by,current_status,labels,created_by,location,contrib_type,repo,type
docs: fix format of Spanish documentation.po file,2024-09-07 18:37:19,closed,documentation,flpm,"New York, NY",contributor,python-package-guide,pulls
docs: add Mentioned in Awesome Scientific Python badge,2024-08-31 10:23:23,closed,documentation,tkoyama010,Japan,contributor,python-package-guide,pulls
chore: create `dependabot.yml` to enable `Dependabot`,2024-08-30 06:00:26,closed,maintenance,tkoyama010,Japan,contributor,python-package-guide,pulls
Fix mirror of the `prettier` npm package for pre-commit,2024-08-28 06:55:36,closed,,tkoyama010,Japan,contributor,python-package-guide,pulls
docs: change update translation sessions in nox,2024-08-27 18:07:38,closed,translations,flpm,"New York, NY",contributor,python-package-guide,pulls
[ci] Ensure i18n up to date,2024-08-26 18:53:03,open,"translations, maintenance",sneakers-the-rat,,contributor,python-package-guide,pulls
Language Selector :),2024-08-23 10:49:40,open,"documentation, translations",sneakers-the-rat,,contributor,python-package-guide,pulls
maint: ungoofy the header at intermediate widths,2024-08-23 06:30:49,closed,maintenance,sneakers-the-rat,,contributor,python-package-guide,pulls
"docs: drop ""vanilla of"" from sentence",2024-08-23 05:50:16,closed,documentation,tkoyama010,Japan,contributor,python-package-guide,pulls
docs: fix the Unicode apostrophe issue in markdown files,2024-08-20 11:28:53,closed,documentation,tkoyama010,Japan,contributor,python-package-guide,pulls
docs: translate to Japanese tests.md,2024-08-20 10:57:51,closed,"translations, lang-JA",tkoyama010,Japan,contributor,python-package-guide,pulls
docs: set Bot configuration `contributorsSortAlphabetically` True,2024-08-18 23:14:36,closed,maintenance,tkoyama010,Japan,contributor,python-package-guide,pulls
docs: fix typos GitHub action -> GitHub Actions,2024-08-18 05:54:43,closed,documentation,tkoyama010,Japan,contributor,python-package-guide,pulls
Update a link in website-hosting-optimizing-your-docs.md with correct anchor,2024-08-17 17:33:26,closed,,flpm,"New York, NY",contributor,python-package-guide,pulls
docs: add star-history to README,2024-08-16 00:26:57,closed,documentation,tkoyama010,Japan,contributor,python-package-guide,pulls
docs: remove conjunctions in bullet points,2024-08-13 00:08:21,closed,,tkoyama010,Japan,contributor,python-package-guide,pulls
docs: update all-contributors badge to new version,2024-08-13 00:06:24,closed,,tkoyama010,Japan,contributor,python-package-guide,pulls
docs: translate to Japanese index.md,2024-08-11 06:23:24,closed,"translations, lang-JA",tkoyama010,Japan,contributor,python-package-guide,pulls
chore: add prettier to pre-commit hook configuration,2024-08-11 05:25:51,closed,,tkoyama010,Japan,contributor,python-package-guide,pulls
docs: fix typo where upper case letters are lower case,2024-08-11 01:25:24,closed,,tkoyama010,Japan,contributor,python-package-guide,pulls
docs: add link to CODE_OF_CONDUCT.md,2024-08-09 17:38:58,closed,,tkoyama010,Japan,contributor,python-package-guide,pulls
docs: translate to Japanese CONTRIBUTING.md,2024-08-09 15:13:23,closed,"translations, lang-JA",tkoyama010,Japan,contributor,python-package-guide,pulls
docs: fixed errors in markdown link syntax,2024-08-09 15:02:45,closed,,tkoyama010,Japan,contributor,python-package-guide,pulls
"chore: os.remove(""foo"") should be replaced by foo_path.unlink()",2024-08-09 07:47:05,closed,,tkoyama010,Japan,contributor,python-package-guide,pulls
docs: translate to Japanese TRANSLATING.md,2024-08-09 05:04:42,closed,"translations, lang-JA",tkoyama010,Japan,contributor,python-package-guide,pulls
docs: delete duplicate content in a sentence,2024-08-09 04:51:25,closed,documentation,tkoyama010,Japan,contributor,python-package-guide,pulls
"docs: fix expression from ""complain"" to ""raise an error""",2024-08-09 03:07:27,closed,,tkoyama010,Japan,contributor,python-package-guide,pulls
Fix link for tox in run-tests.md which plasmapy no longer offers,2024-08-05 17:49:45,closed,,willingc,San Diego,contributor,python-package-guide,pulls
docs: fix ISO language codes link to Sphinx language option link,2024-08-02 10:22:50,closed,,tkoyama010,Japan,contributor,python-package-guide,pulls
docs: preparing the Translation Files for Japanese,2024-08-02 09:09:13,closed,"translations, lang-JA",tkoyama010,Japan,contributor,python-package-guide,pulls
fix(ci): docs-test should be docs_test,2024-08-01 21:57:15,closed,,lwasser,United States,staff,python-package-guide,pulls
Translate tutorials page [partial/wip],2024-07-14 18:50:11,closed,"translations, lang-ES",ncclementi,"Arlington, VA",contributor,python-package-guide,pulls
docs: translate to Spanish pyproject-toml-python-package-metadata.md,2024-07-14 18:05:57,closed,"translations, lang-ES",RobPasMue,"Leganés, Madrid",contributor,python-package-guide,pulls
docs: translate to Spanish python-package-version.md file,2024-07-14 18:05:03,closed,"translations, lang-ES",RobPasMue,"Leganés, Madrid",contributor,python-package-guide,pulls
docs: translating to Spanish the code-style-linting-format.md file,2024-07-14 18:04:51,closed,"translations, lang-ES",RobPasMue,"Leganés, Madrid",contributor,python-package-guide,pulls
docs: translating to Spanish complex-python-package-builds.md,2024-07-14 18:04:36,closed,"translations, lang-ES",RobPasMue,"Leganés, Madrid",contributor,python-package-guide,pulls
docs: translate to Spanish declare-dependencies.md,2024-07-14 18:04:20,closed,"translations, lang-ES",RobPasMue,"Leganés, Madrid",contributor,python-package-guide,pulls
docs: translate to Spanish intro.md of package-structure-code,2024-07-14 18:03:19,closed,"translations, lang-ES",RobPasMue,"Leganés, Madrid",contributor,python-package-guide,pulls
docs: translate to Spanish publish-python-package-pypi-conda.md,2024-07-14 18:03:08,closed,"translations, lang-ES",RobPasMue,"Leganés, Madrid",contributor,python-package-guide,pulls
docs: translate to Spanish python-package-build-tools.md,2024-07-14 18:02:51,closed,"translations, lang-ES",RobPasMue,"Leganés, Madrid",contributor,python-package-guide,pulls
docs: translate to Spanish python-package-distribution-files-sdist-wheel.md file,2024-07-14 18:02:22,closed,"translations, lang-ES",RobPasMue,"Leganés, Madrid",contributor,python-package-guide,pulls
docs: translate to Spanish python-package-structure.md file,2024-07-14 18:00:38,closed,"translations, lang-ES",RobPasMue,"Leganés, Madrid",contributor,python-package-guide,pulls
Minor Markdown improvements on packaging page,2024-07-14 16:33:14,closed,"translations, lang-ES",santisoler,"British Columbia, Canada",contributor,python-package-guide,pulls
docs: translating to spanish the packaging guide,2024-07-13 23:19:27,closed,,RobPasMue,"Leganés, Madrid",contributor,python-package-guide,pulls
Add Spanish translation of parts of the Documentation section,2024-07-13 21:31:32,closed,"translations, lang-ES",yardasol,,contributor,python-package-guide,pulls
Updated Contributions.md with text on forking repos,2024-07-13 19:03:03,closed,,hpodzorski-USGS,,contributor,python-package-guide,pulls
Update conf.py to include Code of Conduct link to footer,2024-07-13 18:59:17,closed,,ayhanxian,,contributor,python-package-guide,pulls
docs: update the contribution guide,2024-07-13 18:24:42,closed,,Revathyvenugopal162,"Lyon, France",contributor,python-package-guide,pulls
Added links for installing hatch via pip and conda.,2024-07-13 18:01:31,closed,,hpodzorski-USGS,,contributor,python-package-guide,pulls
update badges url,2024-07-13 06:09:13,closed,,sneakers-the-rat,,contributor,python-package-guide,pulls
Prepare translation files for SciPy sprint,2024-07-03 21:03:31,closed,,flpm,"New York, NY",contributor,python-package-guide,pulls
Structure the CONTRIBUTING guide to define sprint tasks,2024-06-30 16:10:03,closed,,flpm,"New York, NY",contributor,python-package-guide,pulls
Start spanish translation,2024-06-28 13:23:42,closed,,flpm,"New York, NY",contributor,python-package-guide,pulls
[Tuesday july 2 merge] Fix: update hatch install instructions,2024-06-26 01:02:46,closed,🚀 ready-for-review,lwasser,United States,staff,python-package-guide,pulls
Mention that the code of conduct has placeholder values,2024-06-21 22:25:11,closed,,stefmolin,,contributor,python-package-guide,pulls
Add a translation guide for contributors,2024-06-19 22:59:07,closed,,flpm,"New York, NY",contributor,python-package-guide,pulls
Update diagram -hatch backends,2024-06-12 04:02:15,closed,,lwasser,United States,staff,python-package-guide,pulls
Always use `python -m` with pip,2024-06-07 18:50:33,closed,,jhkennedy,"Fairbanks, AK",contributor,python-package-guide,pulls
Add support for internationalization to the guide,2024-06-06 21:08:26,closed,,flpm,"New York, NY",contributor,python-package-guide,pulls
Add: help wanted automated workflow to guidebook repo,2024-06-05 20:57:37,closed,,lwasser,United States,staff,python-package-guide,pulls
Change formatting to satisfy codespell check,2024-06-05 18:28:49,closed,🚀 ready-for-review,willingc,San Diego,contributor,python-package-guide,pulls
Setup Vale (prose linter) with a minimal unobtrusive configuration,2024-05-23 17:31:23,closed,pyconus-24,flpm,"New York, NY",contributor,python-package-guide,pulls
Unique package name - Corrective action steps,2024-05-21 19:04:46,closed,pyconus-24,pb-413,Pittsburgh PA,contributor,python-package-guide,pulls
Update version references in tutorial: 0.1.0 -> 0.1,2024-05-21 17:48:35,closed,pyconus-24,pb-413,Pittsburgh PA,contributor,python-package-guide,pulls
Windows Instruction for PipX,2024-05-20 21:01:40,closed,"🚀 ready-for-review, sprintable, pyconus-24",Vaunty,,contributor,python-package-guide,pulls
Update github actions versions to current,2024-05-20 20:32:01,closed,"sprintable, pyconus-24",sosey,"Baltimore, MD",contributor,python-package-guide,pulls
Add: hatch plus meson-python python package example to guidebook,2024-05-20 19:25:06,closed,"sprintable, pyconus-24",ucodery,,contributor,python-package-guide,pulls
"Replace usage of ""Anaconda Cloud"" in various contexts",2024-05-20 19:02:28,closed,"sprintable, pyconus-24",chenghlee,"Austin, TX",contributor,python-package-guide,pulls
Fixing Table of Contents/ Nav,2024-05-20 18:25:20,closed,"sprintable, pyconus-24",BSuperbad,,contributor,python-package-guide,pulls
update version from 0.1.0 to 0.1,2024-05-20 18:01:05,closed,pyconus-24,pb-413,Pittsburgh PA,contributor,python-package-guide,pulls
use literalinclude in code-style-linting-format,2024-05-20 15:50:31,closed,"sprintable, pyconus-24",ucodery,,contributor,python-package-guide,pulls
Add command line example for finding hatch config file location,2024-05-20 15:09:42,closed,"sprintable, pyconus-24",sosey,"Baltimore, MD",contributor,python-package-guide,pulls
Fix: sphinx warnings,2024-05-06 23:39:46,closed,,lwasser,United States,staff,python-package-guide,pulls
Include missed update step pyproject.toml,2024-04-15 18:26:53,closed,pycascades,Tyler-Bonnell,"Seattle, WA",contributor,python-package-guide,pulls
API Documentation Tutorial: Fix a few typos and clean up punctuation,2024-04-15 18:20:32,closed,pycascades,Tyler-Bonnell,"Seattle, WA",contributor,python-package-guide,pulls
Update text to reflect modern Hatch,2024-04-13 14:35:33,closed,,ofek,Knowhere,contributor,python-package-guide,pulls
literalinclude directives,2024-04-10 18:54:06,closed,pycascades,ucodery,,contributor,python-package-guide,pulls
More consistent LICENSE and CODE_OF_CONDUCT usage,2024-04-08 21:46:08,closed,pycascades,ptressel,"Seattle, WA, USA",contributor,python-package-guide,pulls
Update installable-code.md,2024-04-08 21:25:42,closed,pycascades,nyeshlur,,contributor,python-package-guide,pulls
Add: Tutorial for migrating from setup.py to pyproject.toml using Hatch,2024-04-08 21:24:42,closed,pycascades,miguelalizo,"Seattle, WA",contributor,python-package-guide,pulls
Add: text on Hatch backend compatibility,2024-04-08 21:01:18,closed,"🚀 ready-for-review, pycascades",ucodery,,contributor,python-package-guide,pulls
"Update get-to-know-hatch.md for consistent style of ""Hatch"" etc.",2024-04-08 21:00:08,closed,pycascades,ptressel,"Seattle, WA, USA",contributor,python-package-guide,pulls
Update get-to-know-hatch.md - Rewording Get to Know Hatch Documentation,2024-04-08 20:41:04,closed,pycascades,Tyler-Bonnell,"Seattle, WA",contributor,python-package-guide,pulls
Update publish-conda-forge.md to fix tiny typo,2024-04-08 20:07:18,closed,pycascades,ptressel,"Seattle, WA, USA",contributor,python-package-guide,pulls
"Update publish-pypi.md with consistent usage for ""test PyPI"".",2024-04-08 19:54:23,closed,pycascades,ptressel,"Seattle, WA, USA",contributor,python-package-guide,pulls
Update publish-pypi.md to remove near-duplicate line.,2024-04-08 19:35:38,closed,pycascades,ptressel,"Seattle, WA, USA",contributor,python-package-guide,pulls
Add: changelog-file.md to the Docs-for-Contributors-and-Maintainers section.,2024-04-08 18:56:27,closed,"🚀 ready-for-review, pycascades",miguelalizo,"Seattle, WA",contributor,python-package-guide,pulls
Update intro.md: Remove Duplicate Link/Sentence,2024-04-08 18:54:50,closed,pycascades,Tyler-Bonnell,"Seattle, WA",contributor,python-package-guide,pulls
Update installable-code.md,2024-04-08 18:36:37,closed,pycascades,nyeshlur,,contributor,python-package-guide,pulls
Fix: Issue 201 - conda-forge tutorial learning objectives,2024-04-07 22:11:11,closed,pycascades,miguelalizo,"Seattle, WA",contributor,python-package-guide,pulls
update: hatch tutorial,2024-04-07 21:42:42,closed,pycascades,ucodery,,contributor,python-package-guide,pulls
Fix: update link to coc,2024-04-04 19:29:39,closed,,lwasser,United States,staff,python-package-guide,pulls
Add command line reference guide to the Tutorials page,2024-03-24 18:51:06,closed,"🚀 ready-for-review, sprintable",calekochenour,"Colorado, United States",contributor,python-package-guide,pulls
all my requirements gone,2024-03-20 20:56:37,closed,,sneakers-the-rat,,contributor,python-package-guide,pulls
Fix: minor edits,2024-03-20 15:45:17,closed,,lwasser,United States,staff,python-package-guide,pulls
Fix broken stuff 2 (and keep stuff unbroken),2024-03-19 22:58:36,closed,,sneakers-the-rat,,contributor,python-package-guide,pulls
"Use `pyproject.toml`, remove `requirements.txt`",2024-03-19 22:17:50,closed,,sneakers-the-rat,,contributor,python-package-guide,pulls
FIX: removed duplicates,2024-03-19 17:51:37,closed,,kierisi,"Chicago, IL",staff,python-package-guide,pulls
UPDATE: added Carol to contributors,2024-03-06 21:17:55,closed,,kierisi,"Chicago, IL",staff,python-package-guide,pulls
UPDATE: added new contributors,2024-03-06 16:50:35,closed,,kierisi,"Chicago, IL",staff,python-package-guide,pulls
Fix: small edits to headers of lesson,2024-03-05 19:19:26,closed,,lwasser,United States,staff,python-package-guide,pulls
Close markdown block for example README,2024-03-05 10:25:48,closed,,tomalrussell,Oxford / London,contributor,python-package-guide,pulls
Fix: inconsistent headings,2024-03-04 23:56:13,closed,,lwasser,United States,staff,python-package-guide,pulls
Description/Author formatting in `tutorials/pyproject-toml.md`,2024-03-04 20:49:49,closed,,sneakers-the-rat,,contributor,python-package-guide,pulls
Fix broken stuff,2024-03-04 20:48:05,closed,,sneakers-the-rat,,contributor,python-package-guide,pulls
Version specification in main text of `tutorials/pyproject-toml.md`,2024-03-04 20:18:38,closed,"🚀 ready-for-review, enhancement-feature",sneakers-the-rat,,contributor,python-package-guide,pulls
Concise headings in `tutorials/pyproject-toml.md`,2024-03-04 20:16:48,closed,,sneakers-the-rat,,contributor,python-package-guide,pulls
Mention copyleft in license guide!,2024-03-02 00:59:41,closed,"🚀 ready-for-review, enhancement-feature",sneakers-the-rat,,contributor,python-package-guide,pulls
Fix: reorganize index structure for users,2024-03-01 20:52:48,closed,,lwasser,United States,staff,python-package-guide,pulls
Fix: multiple broken links,2024-02-27 20:26:14,closed,,lwasser,United States,staff,python-package-guide,pulls
Fix typo of duplicate lines,2024-02-27 17:30:33,closed,,eriknw,"Austin, TX",contributor,python-package-guide,pulls
Fix: nav for tutorials duplicated,2024-02-27 17:13:09,closed,,lwasser,United States,staff,python-package-guide,pulls
"Final series lessons - pyproject, code of conduct & license files",2024-02-13 23:26:14,closed,"new-content, 🚀 ready-for-review, bug-bash",lwasser,United States,staff,python-package-guide,pulls
Fix: typos throughout the packaging build page and add targets to docs,2024-01-30 18:08:57,closed,,lwasser,United States,staff,python-package-guide,pulls
Fix: use hatch for workflow,2024-01-29 23:21:07,closed,,lwasser,United States,staff,python-package-guide,pulls
Add: conda-forge publication tutorials,2024-01-29 19:27:30,closed,"🚀 ready-for-review, bug-bash",lwasser,United States,staff,python-package-guide,pulls
Add: readme file tutorial to packaging 101 series,2024-01-25 19:52:32,closed,,lwasser,United States,staff,python-package-guide,pulls
"DRAFT: readme, pyproject, license trifecta",2024-01-25 19:48:58,closed,,lwasser,United States,staff,python-package-guide,pulls
DRAFT: Tutorial pyprojectoml,2024-01-24 19:51:21,closed,,lwasser,United States,staff,python-package-guide,pulls
Fix: missing link to publish pypi lesson in  current landing page,2024-01-24 00:23:33,closed,,lwasser,United States,staff,python-package-guide,pulls
Add tutorials draft,2024-01-24 00:01:54,closed,,lwasser,United States,staff,python-package-guide,pulls
Fix: logo on readme,2024-01-20 02:07:37,closed,,lwasser,United States,staff,python-package-guide,pulls
Fix: readme file updates,2024-01-20 01:57:48,closed,,lwasser,United States,staff,python-package-guide,pulls
Enh: add glossary,2024-01-19 22:42:20,closed,,lwasser,United States,staff,python-package-guide,pulls
Fix links,2024-01-16 22:07:32,closed,,hugovk,"Helsinki, Finland",contributor,python-package-guide,pulls
feat: new page overviewing CI & code coverage,2024-01-16 19:03:01,closed,"🚀 ready-for-review, enhancement-feature",lwasser,United States,staff,python-package-guide,pulls
ENH: Publish your python package to PyPI,2024-01-12 02:32:03,closed,"🚀 ready-for-review, bug-bash",lwasser,United States,staff,python-package-guide,pulls
Fix: update project name and make year automated,2024-01-11 01:10:57,closed,,lwasser,United States,staff,python-package-guide,pulls
Fix: try to fix cards and also update contrib file,2024-01-10 21:22:21,closed,,lwasser,United States,staff,python-package-guide,pulls
Fix: social cards broken,2024-01-09 22:11:09,closed,,lwasser,United States,staff,python-package-guide,pulls
Fix: minor fixes in install code lesson,2024-01-09 17:09:49,closed,,lwasser,United States,staff,python-package-guide,pulls
Fix: circle ci redirect build,2024-01-09 02:22:50,closed,,lwasser,United States,staff,python-package-guide,pulls
Fix: redirect still has incorrect info,2024-01-08 22:19:17,closed,,lwasser,United States,staff,python-package-guide,pulls
Fix: book redirect build needs secret,2024-01-08 21:46:01,closed,,lwasser,United States,staff,python-package-guide,pulls
"Minor fix to ""features"" table formatting",2024-01-06 00:08:03,closed,,brews,"Oakland, CA",contributor,python-package-guide,pulls
Fix: update homepage nav,2024-01-05 22:19:08,closed,,lwasser,United States,staff,python-package-guide,pulls
Fix: a few fixes to support the new theme and also updated cards,2024-01-05 22:01:43,closed,,lwasser,United States,staff,python-package-guide,pulls
Fix: sitemap url is wrong,2024-01-05 03:10:53,closed,,lwasser,United States,staff,python-package-guide,pulls
Fix: sitemap baseurl,2024-01-05 02:54:55,closed,,lwasser,United States,staff,python-package-guide,pulls
Fix: update zenodo file for new release,2024-01-04 17:50:41,closed,,lwasser,United States,staff,python-package-guide,pulls
Enh: Add tests pages - run tests in ci and locally to guide,2024-01-03 22:37:16,closed,enhancement-feature,lwasser,United States,staff,python-package-guide,pulls
ENH: Tutorial - Python Packaging - How to make your code installable,2024-01-03 21:54:29,closed,"new-content, bug-bash",lwasser,United States,staff,python-package-guide,pulls
Fix: more styles fixes,2024-01-03 21:34:16,closed,,lwasser,United States,staff,python-package-guide,pulls
Fix: fix overwritten card edits,2024-01-03 21:13:52,closed,,lwasser,United States,staff,python-package-guide,pulls
Enh: Redesign of packaging guide landing page,2023-12-24 00:51:04,closed,enhancement-feature,lwasser,United States,staff,python-package-guide,pulls
[review-round-2 - Jan 3 merge] What is a Python package intro tutorial?,2023-12-22 19:38:54,closed,,lwasser,United States,staff,python-package-guide,pulls
"Enh: Tests content - about, write tests, types of tests ",2023-12-20 23:02:40,closed,🚀 ready-for-review,lwasser,United States,staff,python-package-guide,pulls
Fix: invalid json in contribs file,2023-12-12 01:39:13,closed,,lwasser,United States,staff,python-package-guide,pulls
Enh: Remove Google Tag,2023-12-06 06:55:03,closed,,sneakers-the-rat,,contributor,python-package-guide,pulls
"[CSS] Local fonts, working fonts!",2023-12-06 06:39:24,closed,,sneakers-the-rat,,contributor,python-package-guide,pulls
[CSS] Increase dark mode contrast to meet WCAG requirements and other dark mode things,2023-12-06 04:12:47,closed,,sneakers-the-rat,,contributor,python-package-guide,pulls
Fix: cleanup of existing pages as we create tutorials,2023-12-06 00:49:48,closed,,lwasser,United States,staff,python-package-guide,pulls
🐞 Bug Bash wk 2🐞 Add: second lesson and images ,2023-12-05 18:30:43,closed,bug-bash,lwasser,United States,staff,python-package-guide,pulls
Small readme title fix,2023-11-30 21:47:18,closed,,lwasser,United States,staff,python-package-guide,pulls
Fix: styles adjustment to match pyos branding ,2023-11-30 21:44:49,closed,,lwasser,United States,staff,python-package-guide,pulls
🐛 BUG BASH 🐛 Add: initial new tutorial - what is a Python package + images ✨ ,2023-11-30 20:34:01,closed,bug-bash,lwasser,United States,staff,python-package-guide,pulls
Enh: add initial tutorial drafts,2023-11-13 21:34:39,closed,,lwasser,United States,staff,python-package-guide,pulls
Fix: broken links and add alt tags,2023-11-09 20:25:03,closed,,lwasser,United States,staff,python-package-guide,pulls
Minor spelling fix,2023-11-09 17:57:28,closed,,lwasser,United States,staff,python-package-guide,pulls
[review this in jan 2025] Add: data section to guide,2023-10-27 17:32:10,open,"enhancement-feature, draft",NickleDave,Charm City,contributor,python-package-guide,pulls
Add:  dependency page to guide,2023-10-11 18:58:50,closed,"new-content, 🚀 ready-for-review",lwasser,United States,staff,python-package-guide,pulls
Add: code coverage & CI pages to guide,2023-09-26 01:40:23,closed,"new-content, updates-underway",lwasser,United States,staff,python-package-guide,pulls
"Fix: general cleanup of syntax, sphinx warnings",2023-09-26 01:39:18,closed,bug-fix,lwasser,United States,staff,python-package-guide,pulls
package name consistency,2023-09-06 16:41:56,closed,,ucodery,,contributor,python-package-guide,pulls
Add build clarification to package guide,2023-08-21 23:30:52,closed,new-content,lwasser,United States,staff,python-package-guide,pulls
docs: Add ruff section in code style page,2023-08-03 09:11:34,closed,,Batalex,,contributor,python-package-guide,pulls
Fix: broken navigation,2023-08-02 21:10:46,closed,,lwasser,United States,staff,python-package-guide,pulls
Remove duplicated instructions,2023-07-28 13:07:11,closed,,ocefpaf,"Florianópolis, SC",contributor,python-package-guide,pulls
Update conf.py file to reduce the number of items in the top header of our guide - fix for safari.,2023-07-15 16:36:16,closed,,yang-ruoxi,,contributor,python-package-guide,pulls
Fix: link to peer review in header and update diagram,2023-06-16 02:11:52,closed,,lwasser,United States,staff,python-package-guide,pulls
fix: typos,2023-05-31 10:14:00,closed,,dpprdan,"Hamburg, Germany",contributor,python-package-guide,pulls
Fix: edits to the packaging section of the guide ✨ ,2023-04-25 19:20:49,closed,,ucodery,,contributor,python-package-guide,pulls
some user-documentation improvements,2023-04-25 16:29:34,closed,,ucodery,,contributor,python-package-guide,pulls
Add: update logo and decision tree diagram,2023-04-18 18:39:22,closed,,lwasser,United States,staff,python-package-guide,pulls
Add: typing section to docstring page in guide,2023-04-05 13:17:39,closed,,lwasser,United States,staff,python-package-guide,pulls
Move ci to update monthly and add to the bottom of the file,2023-03-31 15:35:18,closed,,lwasser,United States,staff,python-package-guide,pulls
Update intro.md,2023-03-28 07:44:27,closed,,kwinkunks,"Bergen, Norway",contributor,python-package-guide,pulls
Type hints and type checking - Issue #36,2023-03-25 17:40:29,closed,,SimonMolinsky,"Helsinki, Finland",contributor,python-package-guide,pulls
